# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,
# Sun Sep  2 18:32:36 2018,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_hostname:   Host Name,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_letter:     Planet Letter,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_name:       Planet Name,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_discmethod: Discovery Method,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_disc:       Year of Discovery,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_orbper:     Orbital Period [days],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_bmassj:     Planet Mass or M*sin(i) [Jupiter mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_rade:       Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_radj:       Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_rads:       Planet Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_dens:       Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_eqt:        Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_snum:       Number of Stars in System,,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_dist:       Distance [pc],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_mass:       Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_rad:        Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_age:        Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,,,
# COLUMN rmk_cust:        Mock Purchased,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_disc,fpl_orbper,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fpl_snum,fst_dist,fst_lum,fst_mass,fst_rad,fst_age,rmk_cust
38,8 UMi,b,8 UMi b,Radial Velocity,2015,93.4,0.06,416.3573,1.31,13.6,1.22,0.125,0.91,,1,159.1,1.72,1.44,10.3,1.7,
39,81 Cet,b,81 Cet b,Radial Velocity,2008,952.7,0.206,1684.4,5.3,12.8,1.14,0.118,4.41,,1,97.18,1.778,2.4,11,,
40,91 Aqr,b,91 Aqr b,Radial Velocity,2013,181.4,0.027,1017,3.2,13.1,1.17,0.12,2.49,,1,45.52,1.71,1.4,11,3.56,
41,AB Pic,b,AB Pic b,Imaging,2005,,,4290.5,13.5,12.3,1.1,0.113,12.7,,1,45.52,-0.4,0.9,0.73,0.03,
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,2017,481.9,0.2,2034.112,6.4,12.7,1.13,0.117,5.46,,1,2618,2.7,1.14,32.35,5.2,
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,2009,268.94,0.29,330.5432,1.04,13.8,1.23,0.126,0.691,,1,50.03,-0.32,0.49,0.86,,
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,2016,153.22,0.001,337.21763,1.061,13.8,1.23,0.126,0.705,,1,774,1.57,1.08,8.95,7.41,
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,2013,137.48,0.26,352.78,1.11,13.7,1.23,0.126,0.754,,1,175.44,2.01,1.1,14.7,7.1,
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,2009,379.63,0.15,17668.1697,55.59,11.6,1.03,0.106,62.2,,1,200,3.17,10.83,71.02,,
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,2009,621.99,0.18,3963.17,12.47,12.4,1.1,0.113,11.4,,1,200,3.17,10.83,71.02,,
48,BD+20 274,b,BD+20 274 b,Radial Velocity,2012,578.2,0.21,1334.886,4.2,13,1.16,0.119,3.34,,1,1083.64,1.96,0.8,17.3,,
49,BD+20 594,b,BD+20 594 b,Transit,2016,41.6855,0,22.2481,0.07,2.578,0.23,0.024,7.89,546,1,,-0.056,1.67,1.08,3.34,
50,BD+48 738,b,BD+48 738 b,Radial Velocity,2011,392.6,0.2,289.2253,0.91,13.9,1.24,0.127,0.592,,1,,1.69,0.74,11,,
51,BD+48 740,b,BD+48 740 b,Radial Velocity,2018,733,0.76,540.311,1.7,13.5,1.2,0.124,1.21,,1,751.87,1.64,1.09,10.33,,
52,BD+49 828,b,BD+49 828 b,Radial Velocity,2015,2590,0.35,508.5,1.6,13.5,1.21,0.124,1.14,,1,407.63,1.47,1.52,7.6,2.34,
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,2013,3.8728,0,8.5,0.027,2.85,0.254,0.026,2.02,,1,20.1,-1.022,0.7,0.67,4.4,
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,2013,125.94,0.31,53,0.17,8.38,0.747,0.077,0.495,,1,20.1,-1.022,0.7,0.67,4.4,
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,2009,5.6,0.15,12.7132,0.04,3.61,0.322,0.033,1.48,,1,42.09,-0.611,0.5,0.71,4.5,
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,2009,237.6,0.19,104,0.33,12.5,1.11,0.114,0.293,,1,42.09,-0.611,0.5,0.71,4.5,
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,2000,3.48777,0.02,187.5197,0.59,14.1,1.26,0.129,0.368,,1,80,-0.313,1.47,0.91,1,
58,BD-11 4672,b,BD-11 4672 b,Radial Velocity,2014,1667,0.05,168.44,0.53,14.2,1.27,0.13,0.323,,1,27.3,-0.886,0.57,0.52,4.4,
59,BD-13 2130,b,BD-13 2130 b,Radial Velocity,2007,714.29999,0.21,3108.3774,9.78,12.5,1.11,0.114,8.75,,1,766,2.15,2.12,19.17,0.74,
60,BD-17 63,b,BD-17 63 b,Radial Velocity,2008,655.59998,0.54,905.8155,2.85,13.2,1.18,0.121,2.16,,1,37.54,-0.678,0.31,0.74,4.3,
61,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,2011,10037.5,,3337.1,10.5,12.4,1.11,0.114,9.62,370,1,23.1,,0.02,,,
62,CHXR 73,b,CHXR 73 b,Imaging,2006,,,3994.486,12.569,12.3,1.1,0.113,11.8,,1,,,0.35,,0.002,
63,CT Cha,b,CT Cha b,Imaging,2007,,,5403,17,24.66,2.2,0.226,1.98,2600,1,165,,,,0.002,
64,CoRoT-1,b,CoRoT-1 b,Transit,2008,1.5089557,0,327.35,1.03,16.7,1.49,0.153,0.38,1898,1,,0.144,0.95,1.11,7.8,
65,CoRoT-10,b,CoRoT-10 b,Transit,2010,13.2406,0.53,874,2.75,10.87,0.97,0.1,3.7,600,1,345,-0.428,0.89,0.79,3,
66,CoRoT-11,b,CoRoT-11 b,Transit,2010,2.99433,0,740.51,2.33,16.03,1.43,0.147,0.99,1657,1,560,0.464,1.27,1.37,2,
67,CoRoT-12,b,CoRoT-12 b,Transit,2010,2.828042,0.07,291.438,0.917,16.14,1.44,0.148,0.411,1442,1,1150,0.067,1.08,1.12,6.3,
68,CoRoT-13,b,CoRoT-13 b,Transit,2010,4.03519,0,415.704,1.308,9.92,0.885,0.091,2.34,1700,1,1060,0.06,1.09,1.01,1.635,
69,CoRoT-14,b,CoRoT-14 b,Transit,2010,1.51214,0,2415.4,7.6,12.22,1.09,0.112,7.3,1952,1,1340,0.244,1.13,1.21,4.2,
70,CoRoT-16,b,CoRoT-16 b,Transit,2011,5.35227,0.33,170.032,0.535,13.11,1.17,0.12,0.44,,1,840,0.115,1.1,1.19,6.73,
71,CoRoT-17,b,CoRoT-17 b,Transit,2011,3.7681,0,772.29,2.43,11.43,1.02,0.105,2.82,1626,1,920,0.394,1.04,1.59,10.7,
72,CoRoT-18,b,CoRoT-18 b,Transit,2011,1.9000693,0.08,1102.82,3.47,14.68,1.31,0.135,2.2,1550,1,870,-0.102,0.95,1,,
73,CoRoT-19,b,CoRoT-19 b,Transit,2011,3.89713,0.047,352.78,1.11,14.46,1.29,0.133,0.71,2000,1,770,0.544,1.21,1.65,5,
74,CoRoT-2,b,CoRoT-2 b,Transit,2008,1.7429935,0.0143,1102.82,3.47,16.432,1.466,0.151,1.47,1521,1,200,-0.13,0.96,0.91,2.7,
75,CoRoT-20,b,CoRoT-20 b,Transit,2011,9.24285,0.59,1366.669,4.3,9.42,0.84,0.086,8.87,1002,1,864.31,0.006,1.14,1.37,0.1,
76,CoRoT-20,c,CoRoT-20 c,Radial Velocity,2018,1675,0.6,5403.11,17,12.2,1.09,0.112,16.4,,1,864.31,0.006,1.14,1.37,0.1,
77,CoRoT-22,b,CoRoT-22 b,Transit,2014,9.75598,0.077,12.2,0.038,4.88,0.435,0.045,0.249,885,1,592,0.161,1.1,1.14,3.3,
78,CoRoT-23,b,CoRoT-23 b,Transit,2011,3.6313,0.16,889.9,2.8,11.77,1.05,0.108,3,1660,1,600,0.452,1.14,1.61,7.2,
79,CoRoT-24,b,CoRoT-24 b,Transit,2014,5.1134,0,5.7,0.018,3.7,0.33,0.034,0.9,1070,1,600,-0.397,0.91,0.86,11,
80,CoRoT-24,c,CoRoT-24 c,Transit,2014,11.759,0,28,0.088,5,0.44,0.045,1.3,850,1,600,-0.397,0.91,0.86,11,
81,CoRoT-25,b,CoRoT-25 b,Transit,2013,4.86069,0,85.81,0.27,12.11,1.08,0.111,0.15,1330,1,1000,0.231,1.09,1.19,4.5,
82,CoRoT-26,b,CoRoT-26 b,Transit,2013,4.20474,0,165.26,0.52,14.12,1.26,0.13,0.28,1600,1,1670,0.451,1.09,1.79,8.6,
83,CoRoT-27,b,CoRoT-27 b,Transit,2014,3.57532,0.065,3302.11,10.39,11.287,1.007,0.103,12.6,1500,1,,0.106,1.05,1.08,4.21,
84,CoRoT-28,b,CoRoT-28 b,Transit,2015,5.20851,0.047,153.82972,0.484,10.705,0.955,0.098,0.69,,1,560,0.303,1.01,1.78,12,
85,CoRoT-29,b,CoRoT-29 b,Transit,2015,2.85057,0.082,270.1555,0.85,10.088,0.9,0.092,1.45,,1,765,-0.252,0.97,0.9,4.5,
86,CoRoT-3,b,CoRoT-3 b,Transit,2008,4.2568,0,6883.91,21.66,11.32,1.01,0.104,26.4,1695,1,680,0.656,1.37,1.56,2.2,
87,CoRoT-4,b,CoRoT-4 b,Transit,2008,9.20205,0,228.83,0.72,13.34,1.19,0.122,0.525,1074,1,,0.258,1.16,1.17,1,
88,CoRoT-5,b,CoRoT-5 b,Transit,2009,4.0378962,0.09,148.42,0.467,15.558,1.388,0.143,0.217,1438,1,,0.245,1,1.19,6.9,
89,CoRoT-6,b,CoRoT-6 b,Transit,2009,8.886593,0.1,940.74,2.96,13.068,1.166,0.12,2.32,1017,1,,0.115,1.05,1.02,2.5,
90,CoRoT-7,b,CoRoT-7 b,Transit,2009,0.85359,0,3.1783,0.01,1.681,0.15,0.015,6.61,1756,1,153.7,-0.318,0.82,0.83,1.75,
91,CoRoT-7,c,CoRoT-7 c,Radial Velocity,2009,3.698,0,8.4,0.02643,2.83,0.253,0.026,2.04,,1,153.7,-0.318,0.82,0.83,1.75,
